totalPrice,price,square,floor,buildingType,constructionTime
220,47517,46.3,19,1,2004
150,14747,101.72,6,4,2003
896,67147,133.44,33,1,2003
246,26143,94.1,22,1,1992
480,69035,69.53,19,3,2007
78.5,23788,33,15,4,2014
288,61277,47,20,3,2007
252,15750,160,11,4,2000
515,92927,55.42,6,4,1994
140,20403,68.62,6,4,1987
220,29078,75.66,6,4,1997
580,51995,111.55,26,1,1999
260,20039,129.75,6,4,2003
260,34621,75.1,6,4,1995
830,73160,113.45,28,1,2008
480,34533,139,23,3,2009
260,26171,99.35,11,4,2002
319,76942,41.46,6,4,1991
168,16996,98.85,6,4,2005
265,35395,74.87,15,1,2006
327,50308,65,6,4,1987
620,74181,83.58,3,3,2010
270,40663,66.4,18,1,1987
210,28510,73.66,6,4,2000
350,41129,85.1,5,4,1965
138,29108,47.41,20,1,2011
299,32872,90.96,20,3,2007
392,46728,83.89,26,1,2004
418,62389,67,28,3,2011
291.5,59056,49.36,14,3,2005
617,78300,78.8,6,4,1996
210,34763,60.41,13,4,2004
235,54373,43.22,6,3,2006
91,13100,69.47,6,4,1993
750,77971,96.19,18,1,1999
172,29722,57.87,6,4,1988
258,28989,89,16,4,2014
164,28218,58.12,6,4,1988
418,75520,55.35,6,4,1982
870,38143,228.09,12,4,2005
265,52663,50.32,6,4,1982
256,27718,92.36,6,4,1998
159.3,20956,76,12,3,2009
255,19930,127.95,6,4,2008
370,50014,73.98,22,1,2005
1000,69828,143.21,30,1,2005
361,75985,47.51,6,4,1995
1465,73460,199.43,14,3,2004
390,32235,120.99,12,4,2000
185.5,40806,45.46,18,3,2006
541,51682,104.68,20,1,2000
172,16965,101.39,32,1,2003
215,29304,73.37,19,1,1999
387,54508,71,7,4,1999
255,61431,41.51,6,4,1988
557,57775,96.41,18,3,2008
323,43379,74.46,19,1,1999
325,25385,128.03,15,3,2005
440,50000,88,28,1,2009
202.5,40012,50.61,11,3,1992
220,27838,79.03,22,4,2009
230,33740,68.17,25,1,2008
223,27362,81.5,6,4,2004
232,34809,66.65,22,1,2006
560,35044,159.8,13,4,2001
810,48605,166.65,16,1,2002
480,35606,134.81,11,4,2006
493,104229,47.3,16,1,1989
528,88369,59.75,6,4,1992
440,75810,58.04,6,4,1992
900,107067,84.06,18,1,1999
303,69784,43.42,16,1,1982
275,29095,94.52,32,1,2003
323,71938,44.9,18,1,1988
399,83473,47.8,6,4,1992
210,26026,80.69,7,4,1998
1130,70182,161.01,25,4,2012
273.5,48237,56.7,6,4,1988
710,79776,89,5,4,1990
308,42778,72,30,1,2010
148,16241,91.13,6,4,2011
600,89553,67,18,1,2003
390,80981,48.16,9,4,1999
185,32074,57.68,6,4,1986
382,80779,47.29,18,4,2007
259.5,45527,57,6,4,1992
347.5,92421,37.6,12,3,2004
428,48015,89.14,22,4,2013
1510,77836,194,4,4,2004
539,47899,112.53,18,1,1998
312,58047,53.75,6,4,1984
355,52137,68.09,6,4,1999
475,60580,78.41,23,1,2004
735,92453,79.5,21,1,1991
425,99977,42.51,6,4,1990
770,54918,140.21,26,1,2001
410,74128,55.31,6,4,1986
375,37674,99.54,6,4,2006
260,47017,55.3,24,1,2009
480,36975,129.82,7,4,2001
550,92082,59.73,17,4,2004
480,50870,94.36,6,4,2004
298,52781,56.46,6,4,1988
720,77395,93.03,16,1,1990
152,22081,68.84,6,4,1998
1190,94415,126.04,24,1,2003
670,73651,90.97,18,1,2000
325,81332,39.96,21,3,2007
750,52156,143.8,21,3,2008
412,117046,35.2,6,4,1978
295,29113,101.33,6,4,2007
145,22020,65.85,6,4,1987
431.5,49208,87.69,24,1,2010
265,31045,85.36,6,4,2000
269,47318,56.85,5,4,2000
565,100000,56.5,13,3,1981
1355,87420,155,26,3,2007
276.8,59875,46.23,16,3,1986
265,37653,70.38,17,3,1995
410,87795,46.7,16,3,1992
390,67945,57.4,6,4,1991
205,31843,64.38,22,1,1996
414,49880,83,10,4,2007
298.5,42907,69.57,6,4,2000
250,39210,63.76,6,4,1994
200,27398,73,6,4,1993
325,56035,58,29,1,2008
403,35339,114.04,18,3,2005
544,57640,94.38,25,1,2005
746,60651,123,7,3,2008
140,19332,72.42,6,4,1998
307.5,31061,99,20,1,2000
260,24331,106.86,18,1,1997
818,87300,93.7,6,4,1989
550,63045,87.24,26,3,2012
435,107674,40.4,6,4,1988
370,55951,66.13,28,1,2009
302,29324,102.99,21,3,2006
389.5,46514,83.74,6,4,2011
323,89723,36,6,4,1983
