url,id,Lng,Lat,Cid,tradeTime,DOM,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,communityAverage
https://bj.lianjia.com/chengjiao/BJHD89162028.html,BJHD89162028,116.364538,39.957757,1111027380269,2016-02-24,1,22,220,47517,46.3,1,0,1,1,19,1,2004,4,6,0.154,1,1,0,8,76567
https://bj.lianjia.com/chengjiao/BJFS90973208.html,BJFS90973208,116.128533,39.723864,1111027377376,2015-12-26,1,5,150,14747,101.72,3,1,1,1,6,4,2003,3,2,0.5,0,1,1,5,30846
https://bj.lianjia.com/chengjiao/BJCY88433259.html,BJCY88433259,116.462122,39.923796,1111027380611,2015-03-23,1,0,896,67147,133.44,2,2,1,2,33,1,2003,4,6,0.5,1,0,1,7,103114
https://bj.lianjia.com/chengjiao/BJFT84471649.html,BJFT84471649,116.430848,39.869676,1111027374324,2012-05-07,1,0,246,26143,94.1,3,1,1,1,22,1,1992,1,6,0.222,1,1,0,2,60465
https://bj.lianjia.com/chengjiao/101100797890.html,101100797890,116.422099,40.050196,1111027374973,2017-03-18,135,59,480,69035,69.53,1,0,1,1,19,3,2007,4,6,0.211,1,1,1,7,61727
https://bj.lianjia.com/chengjiao/101101254650.html,101101254650,116.665923,40.186753,1111027381403,2017-03-10,11,0,78.5,23788,33,1,0,1,1,15,4,2014,1,6,0.13,1,0,0,13,43947
https://bj.lianjia.com/chengjiao/101100829572.html,101100829572,116.330198,40.074228,1111027381003,2016-12-29,50,44,288,61277,47,1,0,1,1,20,3,2007,4,6,0.5,1,0,1,6,50205
https://bj.lianjia.com/chengjiao/BJSY84994300.html,BJSY84994300,116.560168,40.110054,1111027380329,2012-11-15,1,0,252,15750,160,3,1,1,2,11,4,2000,1,2,0.5,1,1,0,13,44446
https://bj.lianjia.com/chengjiao/101101123839.html,101101123839,116.446478,39.936531,1111027374016,2017-02-09,4,1,515,92927,55.42,2,1,1,1,6,4,1994,3,2,0.2,0,1,1,1,84810
https://bj.lianjia.com/chengjiao/BJCY01297767.html,BJCY01297767,116.503578,39.961829,1111027378611,2011-12-31,1,0,140,20403,68.62,2,1,1,1,6,4,1987,1,2,0.5,0,1,0,7,54832
https://bj.lianjia.com/chengjiao/BJTJ91932424.html,BJTJ91932424,116.664848,39.942927,1111027381046,2016-04-27,1,9,220,29078,75.66,2,1,1,1,6,4,1997,3,2,0.5,0,1,0,11,37601
https://bj.lianjia.com/chengjiao/101100232230.html,101100232230,116.421876,40.008585,1111027382177,2016-09-13,80,37,580,51995,111.55,2,1,1,2,26,1,1999,3,6,0.2,1,0,1,7,66408
https://bj.lianjia.com/chengjiao/BJ0000616473.html,BJ0000616473,116.111318,39.949921,1111027377794,2013-02-21,1,0,260,20039,129.75,3,2,0,2,6,4,2003,3,2,0.5,0,0,0,12,36923
https://bj.lianjia.com/chengjiao/BJSJ91665087.html,BJSJ91665087,116.22664,39.907108,1111027381546,2016-03-17,1,7,260,34621,75.1,2,1,1,1,6,4,1995,3,2,0.5,0,1,1,9,47958
https://bj.lianjia.com/chengjiao/101100496713.html,101100496713,116.348379,39.898284,1111027380894,2016-09-06,11,11,830,73160,113.45,2,1,1,1,28,1,2008,4,6,0.333,1,0,1,10,80976
https://bj.lianjia.com/chengjiao/BJSJ88859908.html,BJSJ88859908,116.210647,39.939312,1111027381804,2015-03-12,1,2,480,34533,139,3,2,1,1,23,3,2009,1,6,0.667,1,0,0,9,56192
https://bj.lianjia.com/chengjiao/BJTJ90147410.html,BJTJ90147410,116.695911,39.894711,1111027380732,2015-08-30,1,6,260,26171,99.35,2,1,1,1,11,4,2002,3,6,0.5,1,1,0,11,43455
https://bj.lianjia.com/chengjiao/BJCY91724821.html,BJCY91724821,116.463953,39.934066,1111027382354,2016-03-18,1,2,319,76942,41.46,1,1,1,1,6,4,1991,3,2,0.333,0,1,1,7,76302
https://bj.lianjia.com/chengjiao/BJCP00438897.html,BJCP00438897,116.35699,40.093976,1111027380088,2012-06-30,1,0,168,16996,98.85,2,1,1,1,6,4,2005,1,2,0.333,0,1,1,6,46280
https://bj.lianjia.com/chengjiao/101092113938.html,101092113938,116.313465,39.856611,1111027379296,2016-07-10,69,37,265,35395,74.87,1,1,1,1,15,1,2006,3,6,1,1,1,1,2,53205
https://bj.lianjia.com/chengjiao/101100476120.html,101100476120,116.503578,39.961829,1111027378611,2016-09-09,18,21,327,50308,65,3,1,1,1,6,4,1987,3,2,0.5,0,1,0,7,54832
https://bj.lianjia.com/chengjiao/101100990674.html,101100990674,116.257104,39.873962,1111027380345,2017-02-26,67,80,620,74181,83.58,3,2,1,2,3,3,2010,4,6,0.25,0,1,1,2,70205
https://bj.lianjia.com/chengjiao/BJCY89431134.html,BJCY89431134,116.446047,39.964131,1111027377814,2015-06-20,1,3,270,40663,66.4,2,1,1,1,18,1,1987,3,6,0.286,1,0,1,7,69318
https://bj.lianjia.com/chengjiao/BJHD84768002.html,BJHD84768002,116.263038,39.926362,1111027381749,2012-08-26,1,0,210,28510,73.66,2,1,1,1,6,4,2000,1,2,0.333,0,0,0,8,65567
https://bj.lianjia.com/chengjiao/BJXC84312789.html,BJXC84312789,116.348013,39.916205,1111027379424,2012-02-19,1,0,350,41129,85.1,2,1,1,1,5,4,1965,1,4,0.333,0,1,1,10,122504
https://bj.lianjia.com/chengjiao/BJCY90160215.html,BJCY90160215,116.454135,39.850772,1111027382460,2015-10-18,1,2,138,29108,47.41,1,1,1,1,20,1,2011,4,6,0.222,1,0,1,7,44711
https://bj.lianjia.com/chengjiao/BJCP90412231.html,BJCP90412231,116.330198,40.074228,1111027381003,2016-01-16,1,36,299,32872,90.96,2,1,1,1,20,3,2007,4,6,0.667,1,1,1,6,50205
